route_id,mode_transport,route_short_name,route_type
IDFM:C02226,Bus,1204,3
IDFM:C00233,Bus,R6,3
IDFM:C00261,Bus,VITAVIL,3
IDFM:C02085,Bus,1233,3
IDFM:C00265,Bus,9502,3
IDFM:C01685,Bus,1221,3
IDFM:C01674,Bus,1222,3
IDFM:C01480,Bus,1227,3
IDFM:C01479,Bus,1234,3
IDFM:C01477,Bus,1231,3
IDFM:C00612,Bus,24,3
IDFM:C01429,Bus,Filéo OTH,3
IDFM:C01431,Bus,Filéo SAR,3
IDFM:C01432,Bus,Filéo GSV,3
IDFM:C01475,Bus,1205,3
IDFM:C01433,Bus,Filéo VLB,3
IDFM:C00785,Bus,1242,3
IDFM:C00782,Bus,1232,3
IDFM:C02030,Bus,Soir,3
IDFM:C00781,Bus,1226,3
IDFM:C02604,Bus,R9,3
IDFM:C00198,Bus,2116,3
IDFM:C00778,Bus,1208,3
IDFM:C00774,Bus,1207,3
IDFM:C00772,Bus,1201,3
IDFM:C00199,Bus,2117,3
IDFM:C00771,Bus,1224,3
IDFM:C00769,Bus,1202,3
IDFM:C00200,Bus,2118,3
IDFM:C00202,Bus,2121,3
IDFM:C00768,Bus,1240,3
IDFM:C00767,Bus,1239,3
IDFM:C00766,Bus,1238,3
IDFM:C00764,Bus,1206,3
IDFM:C00204,Bus,2123,3
IDFM:C00245,Bus,2101,3
IDFM:C00763,Bus,1203,3
IDFM:C00246,Bus,2102,3
IDFM:C00762,Bus,1230,3
IDFM:C00248,Bus,2104,3
IDFM:C00656,Bus,2128,3
IDFM:C02675,Bus,Soir,3
IDFM:C02674,Bus,Soir,3
IDFM:C02624,Bus,N147,3
IDFM:C00659,Bus,2120,3
IDFM:C01675,Bus,100,3
IDFM:C01776,Bus,2129,3
IDFM:C01660,Bus,1302,3
IDFM:C01659,Bus,1301,3
IDFM:C01472,Bus,9518,3
IDFM:C01866,Bus,2124,3
IDFM:C01456,Bus,3201,3
IDFM:C01464,Bus,3202,3
IDFM:C01499,Bus,7704,3
IDFM:C01505,Bus,7707,3
IDFM:C01509,Bus,3213,3
IDFM:C01517,Bus,3208,3
IDFM:C00606,Bus,1303,3
IDFM:C02736,Bus,4215,3
IDFM:C02725,Bus,9112,3
IDFM:C01519,Bus,3209,3
IDFM:C01520,Bus,TàD 3209,3
IDFM:C01664,Bus,3203,3
IDFM:C02724,Bus,4242,3
IDFM:C02636,Bus,Tzen4,3
IDFM:C00819,Bus,3503,3
IDFM:C00833,Bus,3502,3
IDFM:C02032,Bus,3547,3
IDFM:C02750,Bus,Soir,3
IDFM:C00084,Bus,437,3
IDFM:C01272,Bus,301,3
IDFM:C01956,Bus,4220,3
IDFM:C01714,Bus,4240,3
IDFM:C01630,Bus,4219,3
IDFM:C00085,Bus,438,3
IDFM:C01628,Bus,4245,3
IDFM:C00263,Bus,100,3
IDFM:C01627,Bus,4214,3
IDFM:C01623,Bus,4217,3
IDFM:C00547,Bus,440,3
IDFM:C01622,Bus,4202,3
IDFM:C01273,Bus,302,3
IDFM:C00548,Bus,451,3
IDFM:C01314,Bus,388,3
IDFM:C00552,Bus,431,3
IDFM:C01620,Bus,4241,3
IDFM:C01619,Bus,4204,3
IDFM:C00553,Bus,432,3
IDFM:C01618,Bus,4212,3
IDFM:C01616,Bus,4201,3
IDFM:C00554,Bus,433,3
IDFM:C01087,Bus,46,3
IDFM:C01275,Bus,304,3
IDFM:C00555,Bus,434,3
IDFM:C00987,Bus,4232,3
IDFM:C00985,Bus,4231,3
IDFM:C00556,Bus,435,3
IDFM:C00685,Bus,4223,3
IDFM:C00557,Bus,436,3
IDFM:C00665,Bus,4205,3
IDFM:C00573,Bus,428,3
IDFM:C01277,Bus,308,3
IDFM:C00392,Bus,4233,3
IDFM:C00388,Bus,4243,3
IDFM:C00574,Bus,427,3
IDFM:C00386,Bus,4230,3
IDFM:C00385,Bus,4203,3
IDFM:C02641,Bus,Soir,3
IDFM:C02638,Bus,5304,3
IDFM:C00581,Bus,450,3
IDFM:C01721,Bus,5307,3
IDFM:C00500,Bus,5347,3
IDFM:C00409,Bus,5312,3
IDFM:C00402,Bus,5327,3
IDFM:C00594,Bus,429,3
IDFM:C00401,Bus,5315,3
IDFM:C00276,Bus,5323,3
IDFM:C00184,Bus,5303,3
IDFM:C00183,Bus,5302,3
IDFM:C00182,Bus,5301,3
IDFM:C01751,Bus,430,3
IDFM:C00171,Bus,7811,3
IDFM:C00170,Bus,7810,3
IDFM:C02204,Bus,7802,3
IDFM:C02201,Bus,9111,3
IDFM:C00652,Bus,7808,3
IDFM:C00532,Bus,7807,3
IDFM:C01280,Bus,317,3
IDFM:C00426,Bus,7818,3
IDFM:C00287,Bus,7804,3
IDFM:C02286,Bus,6214,3
IDFM:C01311,Bus,378,3
IDFM:C02239,Bus,6246,3
IDFM:C02219,Bus,6252,3
IDFM:C02184,Bus,6254,3
IDFM:C01873,Bus,6251,3
IDFM:C01872,Bus,6243,3
IDFM:C01868,Bus,6240,3
IDFM:C01772,Bus,6230,3
IDFM:C01484,Bus,6231,3
IDFM:C01482,Bus,6227,3
IDFM:C00701,Bus,6210,3
IDFM:C01281,Bus,318,3
IDFM:C00700,Bus,6209,3
IDFM:C00699,Bus,6208,3
IDFM:C00698,Bus,6207,3
IDFM:C00697,Bus,6206,3
IDFM:C00696,Bus,6205,3
IDFM:C00695,Bus,6204,3
IDFM:C01086,Bus,43,3
IDFM:C00694,Bus,6203,3
IDFM:C01309,Bus,370,3
IDFM:C01084,Bus,39,3
IDFM:C00693,Bus,6202,3
IDFM:C01286,Bus,322,3
IDFM:C01308,Bus,368,3
IDFM:C00692,Bus,6201,3
IDFM:C00425,Bus,6241,3
IDFM:C01287,Bus,323,3
IDFM:C00408,Bus,6211,3
IDFM:C00113,Bus,6217,3
